validation_scheme,fold,model,test_r2,test_adjusted_r2_nominal,mae_log_price,rmse_log_price,mae_dollars_approx,rmse_dollars_approx,train_rows,test_rows,train_hosts,test_hosts,host_overlap_count,encoded_features,test_spatial_block
host_grouped_5fold,3,Baseline: listing + official neighbourhood,0.6209050418892409,0.5924016615801613,0.3179422428907382,0.4181172853233618,57.618312554927776,106.2414909017939,12805,3004,8261,2065,0,210,
host_grouped_5fold,3,Expanded: baseline + network community,0.6218012179777497,0.5910223469885425,0.31806853538185564,0.4176227806906831,57.6174967665597,106.28353069952374,12805,3004,8261,2065,0,226,
host_grouped_5fold,4,Baseline: listing + official neighbourhood,0.6411806561293361,0.6160657054029567,0.33069186507784426,0.4346124722747664,56.42824569676759,106.94669639021028,12613,3196,8261,2065,0,209,
host_grouped_5fold,4,Expanded: baseline + network community,0.6441568421106902,0.6171990271190759,0.32852405136938917,0.432806297493453,56.16871630820506,106.3965327863113,12613,3196,8261,2065,0,225,
host_grouped_5fold,5,Baseline: listing + official neighbourhood,0.6373191964025866,0.6119653452855903,0.3214665339663205,0.4204546921290359,53.930312543576,99.89575927864715,12594,3215,8261,2065,0,210,
host_grouped_5fold,5,Expanded: baseline + network community,0.6381194367238223,0.6107482830088236,0.32109412069659266,0.4199905779568201,53.84513168201411,99.64654767854806,12594,3215,8261,2065,0,226,
spatial_block_5fold,1,Baseline: listing + official neighbourhood,0.638251307328386,0.6043263813392599,0.32428176323010827,0.4192379874051205,43.133574752565764,85.3760500600595,13557,2252,9256,1192,122,193,0.0
spatial_block_5fold,1,Expanded: baseline + network community,0.6358272630736255,0.5985539516056468,0.3287457620162486,0.4206402794990294,43.20601353911537,84.02272139207462,13557,2252,9256,1192,122,209,0.0
spatial_block_5fold,2,Baseline: listing + official neighbourhood,0.27031168401054306,0.25425475234456163,0.418110845389129,0.5391323259966881,77.27140944725954,126.37251731757851,7541,8268,4579,5941,194,178,1.0
spatial_block_5fold,2,Expanded: baseline + network community,0.2616191578146747,0.24406261023577913,0.4192267429104494,0.5423340679934024,76.79911634477048,125.5225596222354,7541,8268,4579,5941,194,192,1.0
spatial_block_5fold,3,Baseline: listing + official neighbourhood,0.6084121185298503,0.5719616605042879,0.31531938376578095,0.40519531640527395,43.460242184563405,82.1746407751993,13706,2103,9031,1377,82,179,2.0
spatial_block_5fold,3,Expanded: baseline + network community,0.5939379748498683,0.5524161631538664,0.3203196624738483,0.41261592277861336,44.16384030152178,83.37401446197609,13706,2103,9031,1377,82,195,2.0
spatial_block_5fold,4,Baseline: listing + official neighbourhood,0.604200803877875,0.5521078296257094,0.32732136403535245,0.42606688687142225,53.48093133772895,99.16462642888943,14140,1669,9183,1222,79,194,3.0
spatial_block_5fold,4,Expanded: baseline + network community,0.6027092522893568,0.5454863050882354,0.32622687583867144,0.42686893897204964,53.41649488925221,99.749169046254,14140,1669,9183,1222,79,210,3.0
spatial_block_5fold,5,Baseline: listing + official neighbourhood,0.5264874305397342,0.45782095521014887,0.34509814323196686,0.43574463458809864,41.3307344229537,82.94215256582103,14292,1517,9500,896,70,192,4.0
spatial_block_5fold,5,Expanded: baseline + network community,0.5368801077191678,0.4632341309650293,0.3406785714478307,0.4309362321026248,40.78028549360317,82.00867484273148,14292,1517,9500,896,70,208,4.0
