id,host_id,latitude,longitude,neighbourhood_cleansed,price,room_type,property_type,accommodates,bedrooms,beds,bathrooms_text,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,host_is_superhost,license,calculated_host_listings_count,reviews_per_month,price_w,log_price,log_price_w
941556753656323801,194990053,43.694087749521984,-79.29716192185879,Taylor-Massey,191.0,Entire home/apt,Entire home,7,3.0,3.0,1.5 baths,2,84,7,4.86,f,f,STR-2210-GLKKVG,1,0.25,191.0,5.25227342804663,5.25227342804663
942095214307782614,12115612,43.66152145054634,-79.41949314587413,Palmerston-Little Italy,89.0,Private room,Private room in home,2,1.0,1.0,1 private bath,1,362,70,4.89,t,t,STR-2304-HRJPHX,2,2.62,89.0,4.48863636973214,4.48863636973214
942135153226908529,523785675,43.67239037711201,-79.48704159933948,Rockcliffe-Smythe,108.0,Entire home/apt,Entire home,4,1.0,2.0,1 bath,2,348,45,4.93,f,t,STR-2307-HQJVHX,1,1.61,108.0,4.68213122712422,4.68213122712422
942262982104473978,526330177,43.66485,-79.43897,Dovercourt-Wallace Emerson-Junction,53.0,Private room,Private room in home,2,1.0,1.0,1 shared bath,1,67,85,4.81,f,t,STR-2208-GDDHHF,2,3.06,53.0,3.970291913552122,3.970291913552122
942322862950475226,527543288,43.641906693850586,-79.39238557827325,Waterfront Communities-The Island,173.0,Entire home/apt,Entire rental unit,5,2.0,3.0,1 bath,2,192,105,4.93,f,t,STR-2307-HBJVHW,1,3.94,173.0,5.153291594497779,5.153291594497779
942587602555127997,52325373,43.67457,-79.39135,Annex,380.0,Entire home/apt,Entire home,3,2.0,2.0,1.5 baths,3,197,4,5.0,f,f,STR-2307-FFMHHP,1,0.15,380.0,5.940171252720432,5.940171252720432
942809675941884950,36823972,43.66505,-79.39813,University,160.0,Entire home/apt,Entire rental unit,3,2.0,3.0,1 bath,28,220,0,4.89,f,t,STR-2304-FJCPHP,2,0.87,160.0,5.075173815233827,5.075173815233827
942836197426995150,231861383,43.64975,-79.37242,Church-Yonge Corridor,116.0,Entire home/apt,Entire condo,2,0.0,1.0,1 bath,28,130,6,5.0,f,t,Unknown,1,0.35,116.0,4.7535901911063645,4.7535901911063645
942983843454816269,520002643,43.6426339,-79.3959691,Waterfront Communities-The Island,99.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,28,347,3,5.0,f,f,Unknown,1,0.19,99.0,4.59511985013459,4.59511985013459
943011195512598617,525707488,43.640914296615335,-79.396281902932,Waterfront Communities-The Island,155.0,Entire home/apt,Entire rental unit,4,1.0,2.0,1 bath,1,60,73,4.62,t,t,STR-2307-GFLBHS,1,2.69,155.0,5.043425116919247,5.043425116919247
943432924844823430,63979569,43.66708937150905,-79.38244753493306,Church-Yonge Corridor,299.0,Entire home/apt,Entire townhouse,8,3.0,5.0,2 baths,28,365,2,5.0,f,t,Unknown,2,0.09,299.0,5.700443573390687,5.700443573390687
943524129317605444,527883481,43.64520659249943,-79.3888067775021,Waterfront Communities-The Island,166.0,Entire home/apt,Entire condo,4,2.0,2.0,1 bath,28,223,7,4.43,t,f,STR-2307-HBZHHW,1,0.26,166.0,5.111987788356544,5.111987788356544
943614610665508129,258867325,43.6381,-79.41606,Niagara,118.0,Private room,Private room in condo,2,1.0,1.0,1 private bath,28,244,5,5.0,f,f,STR-2208-FVYPHD,1,0.18,118.0,4.770684624465665,4.770684624465665
943916452755044333,60007301,43.66447730591556,-79.35875548129734,Cabbagetown-South St.James Town,77.0,Private room,Private room in rental unit,2,1.0,1.0,1 bath,28,364,0,4.89,f,f,Unknown,1,0.87,77.0,4.343805421853684,4.343805421853684
944076629408018514,253358273,43.73578987646501,-79.24533555875755,Eglinton East,239.0,Entire home/apt,Entire home,6,3.0,3.0,2.5 baths,2,364,9,4.22,f,f,STR-2409-FTDSBQ,1,0.67,239.0,5.476463551931511,5.476463551931511
944229661085054797,525874374,43.72404751459287,-79.32978600314291,Banbury-Don Mills,185.0,Entire home/apt,Entire rental unit,4,2.0,2.0,1 bath,28,364,8,4.88,f,f,STR-2306-FWWRVR,1,0.29,185.0,5.220355825078324,5.220355825078324
944244577961897340,69288842,43.79834,-79.14155,Rouge,185.0,Entire home/apt,Entire townhouse,4,2.0,2.0,2.5 baths,2,76,32,4.97,f,t,STR-2310-FDSHHP,1,1.33,185.0,5.220355825078324,5.220355825078324
944438343676443674,508871106,43.64733799814313,-79.47538334744466,High Park-Swansea,63.0,Private room,Private room in home,2,1.0,1.0,1 shared bath,3,365,25,4.68,f,t,STR-2301-GBCKVR,3,0.97,63.0,4.143134726391533,4.143134726391533
944953997458479478,525151807,43.7306002,-79.2723943,Ionview,199.0,Entire home/apt,Entire rental unit,4,2.0,3.0,1 bath,28,269,5,4.0,t,f,STR-2307-GRWVHT,1,0.18,199.0,5.293304824724492,5.293304824724492
945114159712141734,452320037,43.77449854531413,-79.416517302319,Willowdale West,262.0,Entire home/apt,Entire townhouse,5,3.0,3.0,2.5 baths,3,75,21,5.0,f,t,STR-2503-FFJVPP,1,3.3,262.0,5.568344503761097,5.568344503761097
945561169863819298,528426669,43.64288017775262,-79.44210756470554,Roncesvalles,343.0,Entire home/apt,Entire rental unit,6,3.0,3.0,1 bath,3,346,58,5.0,f,t,STR-2208-HZFPHM,1,2.1,343.0,5.8377304471659395,5.8377304471659395
