validation_scheme,fold,model,test_r2,test_adjusted_r2_approx,mae_log_price,rmse_log_price,mae_dollars_approx,rmse_dollars_approx,train_rows,test_rows,train_hosts,test_hosts,host_overlap_count,encoded_features,test_spatial_block
host_grouped_5fold,3,Baseline: listing + official neighbourhood,0.619635851478078,0.5910370433185349,0.31869011356490573,0.4200413011128491,58.255246547828946,109.4764159381921,12805,3004,8261,2065,0,210,
host_grouped_5fold,3,Expanded: baseline + network community,0.6199184641388127,0.5888383097294145,0.31942344918808346,0.41988522561422303,58.331568915803125,109.51372331437787,12805,3004,8261,2065,0,227,
host_grouped_5fold,4,Baseline: listing + official neighbourhood,0.6402089144443542,0.6150259483086777,0.3312149201490491,0.435940087490732,56.838684056318435,109.08915418094759,12613,3196,8261,2065,0,209,
host_grouped_5fold,4,Expanded: baseline + network community,0.6440154986480887,0.6169179919773133,0.32827907308426524,0.43362783558855234,56.534975507330735,108.49968312731008,12613,3196,8261,2065,0,226,
host_grouped_5fold,5,Baseline: listing + official neighbourhood,0.6373206718218438,0.6119669238466732,0.32146395552417933,0.42044970355082706,53.92807928974776,99.88445486816708,12594,3215,8261,2065,0,210,
host_grouped_5fold,5,Expanded: baseline + network community,0.6380541903078354,0.6105477628555015,0.32144392603369065,0.42002430885306796,53.954923511523695,99.76529188057557,12594,3215,8261,2065,0,227,
spatial_block_5fold,1,Baseline: listing + official neighbourhood,0.6381167020140259,0.6041791526888107,0.3243282521830641,0.4192907221994867,43.127655242493866,85.31448037402372,13557,2252,9256,1192,122,193,0.0
spatial_block_5fold,1,Expanded: baseline + network community,0.638506073555541,0.6013116960183846,0.323441010373111,0.4190650917066962,43.06558659420821,85.0775470767206,13557,2252,9256,1192,122,210,0.0
spatial_block_5fold,2,Baseline: listing + official neighbourhood,0.26817030644441864,0.252066253353444,0.4210978581101857,0.547341096638949,79.97790523868693,138.53631845771122,7541,8268,4579,5941,194,178,1.0
spatial_block_5fold,2,Expanded: baseline + network community,0.2514822888023267,0.23358980449948408,0.4248673491099684,0.5535464693693793,79.77486645009351,137.95168501310175,7541,8268,4579,5941,194,193,1.0
spatial_block_5fold,3,Baseline: listing + official neighbourhood,0.6084423299727684,0.5719946841408003,0.31525096229213223,0.4049990301420369,43.37970649721689,81.63365973420638,13706,2103,9031,1377,82,179,2.0
spatial_block_5fold,3,Expanded: baseline + network community,0.6139912354378312,0.5742967349896753,0.31070645818356013,0.4021190966684327,42.89546137010433,81.88052779626315,13706,2103,9031,1377,82,196,2.0
spatial_block_5fold,4,Baseline: listing + official neighbourhood,0.6042493606744598,0.552162777208276,0.32733676679174856,0.42604075104558503,53.482787570972164,99.16222662364206,14140,1669,9183,1222,79,194,3.0
spatial_block_5fold,4,Expanded: baseline + network community,0.6025976754759981,0.5450466181839155,0.32541290416869634,0.4269288766028862,53.371906982321775,99.98173910177208,14140,1669,9183,1222,79,211,3.0
spatial_block_5fold,5,Baseline: listing + official neighbourhood,0.5260223865210496,0.45728847278392093,0.3458412915020381,0.43690785654532427,41.323614303673224,82.78800426294139,14292,1517,9500,896,70,192,4.0
spatial_block_5fold,5,Expanded: baseline + network community,0.5503237628564019,0.4784168511785045,0.33533883970554823,0.4255601060553213,40.04384100400096,81.01206862011338,14292,1517,9500,896,70,209,4.0
